,Adapter,Airborne,Boot,Bottle,Cap,Disk,Halls,Powder,Toy,Tumbler,Tupperware,Umbrella,N/A,,,
adapter,108,0,2,0,1,0,0,1,0,1,0,1,6,,,
airborne,1,73,0,5,4,0,16,0,0,15,0,4,2,,,
boot,5,0,100,10,0,0,0,0,0,1,1,2,1,,,
bottle,1,0,3,112,0,0,1,1,0,2,0,0,0,,,
cap,1,0,0,0,109,0,0,0,0,6,0,0,4,,,
disk,0,0,0,1,0,116,0,0,0,0,0,0,3,,,
halls,1,0,0,0,0,0,114,0,1,0,1,0,3,,,
powder,1,0,1,0,0,0,3,109,1,1,1,0,3,,,
toy,1,0,3,6,7,0,1,20,60,16,0,0,6,,,
tumbler,0,0,1,3,2,1,0,12,0,100,0,1,0,,,
tupperware,0,0,1,0,0,0,0,10,2,6,99,0,2,,,
umbrella,1,0,6,0,0,0,2,6,0,15,0,82,8,,,
N/A,3,1,3,2,3,3,1,1,7,1,1,2,0,,,
,,,,,,,,,,,,,,1182,324,1506
